offer_id,candidate_id,offer_date,offer_expiry,accepted,join_date,salary_band,date_inversion_flag
54,551,2024-02-04,2024-02-11,False,,Band 5,False
55,557,2024-03-02,2024-03-09,False,,Band 5,False
56,559,2023-06-22,2023-06-29,True,2023-08-01,Band 4,False
57,562,2024-02-10,2024-02-17,True,2024-02-25,Band 1,False
58,591,2023-07-23,2023-07-30,False,,Band 2,False
59,624,2023-06-16,2023-06-23,True,2023-07-23,Band 3,False
60,634,2024-06-08,2024-06-15,False,,Band 2,False
61,641,2023-07-13,2023-07-20,False,,Band 1,False
62,647,2023-04-18,2023-04-25,True,2023-06-10,Band 5,False
63,655,2024-01-20,2024-01-27,True,2024-02-18,Band 1,False
64,666,2024-07-02,2024-07-09,True,2024-07-19,Band 1,False
65,671,2024-04-18,2024-04-25,True,2024-05-30,Band 5,False
66,680,2023-07-18,2023-07-25,True,2023-08-04,Band 3,False
67,694,2023-02-21,2023-02-28,False,,Band 2,False
68,710,2024-01-07,2024-01-14,False,,Band 4,False
69,712,2024-01-30,2024-02-06,True,2024-03-28,Band 1,False
70,723,2024-03-08,2024-03-15,False,,Band 5,False
71,728,2024-07-07,2024-07-14,True,2024-07-27,Band 4,False
72,733,2024-03-01,2024-03-08,False,,Band 3,False
73,734,2023-09-19,2023-09-26,False,,Band 1,False
74,745,2024-01-26,2024-02-02,True,2024-03-17,Band 4,False
75,750,2024-07-19,2024-07-26,True,2024-08-25,Band 1,False
76,760,2023-05-17,2023-05-24,True,2023-06-28,Band 3,False
77,764,2023-03-20,2023-03-06,True,2023-02-27,Band 2,True
78,774,2024-04-15,2024-04-22,True,2024-05-27,Band 1,False
79,787,2024-07-17,2024-07-24,True,2024-08-29,Band 1,False
80,809,2024-07-25,2024-08-01,True,2024-09-03,Band 1,False
81,817,2023-04-24,2023-05-01,False,,Band 1,False
82,818,2023-09-29,2023-10-06,True,2023-10-22,Band 2,False
83,821,2023-07-29,2023-08-05,False,,Band 5,False
84,825,2024-08-04,2024-08-11,True,2024-09-18,Band 5,False
85,840,2024-05-11,2024-04-20,True,2024-04-13,Band 4,True
86,843,2024-02-28,2024-03-06,False,,Band 1,False
87,844,2023-07-05,2023-07-12,False,,Band 5,False
88,856,2023-12-05,2023-12-12,True,2024-02-02,Band 3,False
89,877,2023-03-09,2023-03-16,False,,Band 5,False
90,886,2023-08-01,2023-08-08,True,2023-09-25,Band 3,False
91,902,2023-04-17,2023-04-24,False,,Band 2,False
92,907,2023-04-03,2023-04-10,False,,Band 2,False
93,914,2023-11-23,2023-11-30,False,,Band 1,False
94,917,2023-08-15,2023-08-22,True,2023-09-22,Band 4,False
95,928,2024-02-06,2024-02-13,True,2024-03-20,Band 4,False
96,933,2024-07-21,2024-07-28,True,2024-09-01,Band 3,False
97,935,2023-07-11,2023-07-18,True,2023-09-07,Band 5,False
98,936,2023-04-26,2023-05-03,False,,Band 2,False
99,939,2023-11-25,2023-12-02,True,2023-12-16,Band 3,False
100,944,2023-04-14,2023-04-21,True,2023-04-28,Band 1,False
101,965,2024-04-18,2024-04-25,True,2024-05-04,Band 5,False
102,973,2024-03-04,2024-03-11,False,,Band 2,False
103,978,2023-06-30,2023-07-07,False,,Band 1,False
104,999,2023-03-05,2023-03-12,True,2023-04-02,Band 3,False
105,1001,2024-05-26,2024-06-02,False,,Band 5,False
106,1028,2024-03-21,2024-03-28,True,2024-04-04,Band 1,False
107,1076,2024-01-22,2024-01-29,True,2024-02-09,Band 3,False
108,1083,2023-10-14,2023-10-21,True,2023-11-03,Band 1,False
109,1110,2023-07-27,2023-08-03,True,2023-09-02,Band 5,False
110,1121,2023-05-11,2023-05-18,False,,Band 4,False
111,1125,2024-02-29,2024-03-07,True,2024-04-22,Band 2,False
112,1137,2023-02-26,2023-02-14,True,2023-02-07,Band 1,True
113,1149,2024-06-17,2024-06-24,False,,Band 3,False
114,1153,2023-05-28,2023-06-04,True,2023-06-20,Band 5,False
115,1158,2023-12-08,2023-12-15,False,,Band 1,False
116,1159,2023-05-06,2023-05-13,True,2023-06-24,Band 1,False
117,1184,2024-02-18,2024-02-25,True,2024-03-07,Band 4,False
118,1207,2024-01-26,2024-02-02,False,,Band 2,False
119,1214,2023-06-03,2023-06-10,True,2023-07-23,Band 1,False
120,1232,2023-05-01,2023-05-08,True,2023-05-24,Band 1,False
121,1264,2023-08-18,2023-08-25,True,2023-09-15,Band 1,False
122,1266,2024-03-08,2024-03-15,True,2024-04-09,Band 3,False
123,1292,2024-05-04,2024-05-11,True,2024-06-16,Band 1,False
124,1319,2024-02-26,2024-02-13,True,2024-02-06,Band 2,True
125,1320,2023-02-20,2023-02-27,False,,Band 4,False
126,1322,2023-06-22,2023-06-29,True,2023-07-22,Band 4,False
127,1326,2024-01-17,2024-01-24,False,,Band 2,False
128,1327,2023-11-14,2023-11-21,True,2023-12-01,Band 4,False
129,1342,2024-02-10,2024-02-17,True,2024-03-09,Band 2,False
130,1351,2023-06-08,2023-06-15,True,2023-06-26,Band 5,False
131,1379,2023-04-02,2023-04-09,False,,Band 2,False
132,1381,2023-03-02,2023-03-09,True,2023-04-21,Band 3,False
133,1383,2024-02-29,2024-03-07,False,,Band 4,False
134,1385,2024-02-27,2024-03-05,False,,Band 2,False
135,1390,2024-05-24,2024-05-31,True,2024-06-26,Band 4,False
136,1403,2024-02-12,2024-01-28,True,2024-01-21,Band 4,True
137,1406,2024-08-14,2024-08-21,True,2024-09-01,Band 2,False
138,1407,2023-11-11,2023-11-18,True,2023-12-30,Band 4,False
139,1418,2024-04-09,2024-04-16,True,2024-05-01,Band 2,False
140,1421,2024-07-16,2024-07-23,False,,Band 4,False
141,1423,2023-11-05,2023-11-12,False,,Band 5,False
142,1424,2023-05-06,2023-05-13,True,2023-07-01,Band 3,False
143,1429,2024-08-24,2024-08-31,False,,Band 5,False
144,1434,2023-08-04,2023-08-11,True,2023-09-01,Band 3,False
145,1452,2023-03-29,2023-04-05,False,,Band 3,False
146,1458,2023-02-15,2023-02-22,True,2023-03-02,Band 5,False
147,1490,2023-09-25,2023-10-02,True,2023-11-14,Band 1,False
148,1504,2024-01-16,2024-01-23,True,2024-02-27,Band 3,False
149,1514,2023-10-18,2023-10-25,True,2023-12-14,Band 3,False
150,1526,2023-10-11,2023-10-18,True,2023-11-24,Band 4,False
151,1528,2023-10-28,2023-11-04,False,,Band 3,False
152,1547,2023-07-04,2023-07-11,True,2023-07-22,Band 1,False
153,1552,2024-04-01,2024-04-08,False,,Band 5,False
154,1554,2024-07-05,2024-07-12,True,2024-07-30,Band 4,False
155,1556,2024-05-24,2024-05-31,True,2024-06-20,Band 2,False
156,1588,2024-02-13,2024-02-20,False,,Band 2,False
157,1604,2023-08-23,2023-08-30,True,2023-09-10,Band 3,False
158,1605,2023-06-13,2023-06-20,True,2023-07-04,Band 1,False
159,1616,2023-09-27,2023-10-04,True,2023-10-29,Band 5,False
160,1620,2024-02-22,2024-02-29,True,2024-03-24,Band 4,False
161,1626,2024-01-11,2024-01-18,True,2024-01-27,Band 1,False
162,1632,2024-03-09,2024-03-16,False,,Band 1,False
163,1646,2024-02-20,2024-02-27,True,2024-03-16,Band 2,False
164,1648,2024-05-11,2024-05-18,False,,Band 5,False
165,1653,2023-03-01,2023-03-08,True,2023-04-01,Band 4,False
166,1656,2024-04-26,2024-05-03,True,2024-05-14,Band 5,False
167,1658,2023-05-03,2023-05-10,False,,Band 4,False
168,1675,2023-08-11,2023-08-18,False,,Band 1,False
169,1684,2023-12-12,2023-12-19,False,,Band 1,False
170,1688,2023-04-27,2023-05-04,False,,Band 4,False
171,1700,2023-10-14,2023-10-21,False,,Band 1,False
172,1703,2023-10-03,2023-10-10,True,2023-10-29,Band 4,False
173,1711,2024-01-12,2024-01-19,True,2024-02-12,Band 2,False
174,1714,2023-03-19,2023-03-26,False,,Band 4,False
175,1745,2023-03-15,2023-03-22,True,2023-04-26,Band 2,False
176,1750,2023-03-21,2023-03-28,True,2023-04-18,Band 1,False
177,1759,2024-01-31,2024-02-07,False,,Band 3,False
178,1771,2024-04-16,2024-04-23,True,2024-05-22,Band 5,False
179,1795,2024-01-29,2024-02-05,True,2024-03-27,Band 5,False
